score_phrase,title,url,score,genre,release_year,release_month,release_day
Great,Sleeping Dogs,/games/sleeping-dogs/ps3-55068,8.5,Action,2012,8,14
Good,Darksiders II,/games/darksiders-2/ps3-14336767,7.5,Action,2012,8,14
Bad,Papo & Yo,/games/papo-and-yo/ps3-110267,4,Adventure,2012,8,14
Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/pc-135879,7.5,Adventure,2012,10,9
Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ipad-135882,7.5,Adventure,2012,10,9
Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/ps3-135880,7.5,Adventure,2012,10,9
Mediocre,Cortex Command,/games/cortex-command/pc-14333880,5,"Action, Simulation",2012,10,9
Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/xbox-360-135881,7.5,Adventure,2012,10,9
Good,Derrick the Deathfin,/games/derrick-the-deathfin-133942/ps3-129921,7.4,Action,2012,10,9
Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,/games/the-walking-dead-season-1-episode-4/mac-135878,7.5,Adventure,2012,10,9
Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/xbox-360-126074,8.2,Strategy,2012,10,8
Great,XCOM: Enemy Unknown,/games/xcom-enemy-unknown/pc-126070,8.2,Strategy,2012,10,8
Okay,Silent Hill: Book of Memories,/games/silent-hill-book-of-memories/vita-110040,6,Adventure,2012,10,24
Good,Diaspora: Shattered Armistice,/games/diaspora-shattered-armistice/pc-145951,7.4,"Flight, Action",2012,10,24
Okay,Pocket Clothier,/games/pocket-clothier/iphone-145621,6.6,Strategy,2012,10,24
Okay,Pocket Clothier,/games/pocket-clothier/android-145958,6.6,Strategy,2012,10,24
Okay,Ravaged,/games/ravaged-135376/pc-128650,6.7,Shooter,2012,10,23
